9535,158427,1.0
1594442,219603,2.0
1965711,6540,1.0
1505134,161223,3.0
5263977,23624,2.0
7830,110221,1.0
94046,109793,1.0
452795,254978,1.0
98343,240684,2.0
506559,142803,1.0
1969696,113820,2.0
2045251,113072,2.0
1965711,75743,1.0
1916095,45030,2.0
223481,52880,1.0
2420821,39444,2.0
1592150,131564,2.0
439121,72741,1.0
934852,106287,1.0
9932489,19009,2.0
44923,102325,2.0
355516,155831,2.0
667209,101331,1.0
2817076,131555,1.0
2353550,186102,2.0
483147,133508,1.0
24149,99858,2.0
3191703,142784,1.0
809205,158768,2.0
297406,269833,3.0
8989748,257257,2.0
1336,173708,2.0
1185402,194877,1.0
400318,99731,1.0
557129,127700,2.0
139417,269051,3.0
3542426,64025,2.0
2377432,202511,2.0
268135,9313,3.0
306163,193033,2.0
1748164,71474,1.0
1446746,195653,3.0
8110782,52901,2.0
1767883,131494,2.0
76506,254966,1.0
1957910,142783,1.0
2430496,231565,2.0
2577819,84545,1.0
79035,222985,2.0
874509,49396,2.0
1787702,155303,2.0
7714746,142782,2.0
5282003,95465,1.0
3557700,1959,1.0
3231429,44895,1.0
8986770,6529,1.0
3602727,53963,1.0
4274421,114593,2.0
5171886,156446,1.0
1737342,148449,2.0
40360,259685,1.0
362752,269863,2.0
8570212,52958,2.0
6343448,107711,2.0
1771560,136471,2.0
83072,104357,2.0
2934676,117355,2.0
1727,200193,2.0
2683316,103042,1.0
3293,235796,2.0
297406,269876,2.0
794848,199221,2.0
1509595,158656,1.0
990680,200255,1.0
2678205,142782,1.0
5269929,229755,1.0
693165,144783,1.0
6975031,49745,1.0
732024,251111,1.0
283825,134421,2.0
1320352,240684,3.0
779491,194197,1.0
51346,256504,1.0
411068,217359,1.0
37772,153898,1.0
2431575,127357,2.0
3370555,115301,2.0
39602,6540,1.0
1180346,229694,1.0
9920,143003,3.0
1329920,175055,1.0
446412,167362,1.0
990136,110276,1.0
1685464,237310,1.0
1194919,113845,2.0
2081565,107990,1.0
5098877,266780,2.0
65619,54372,1.0
334574,131559,2.0
405080,56459,1.0
1742034,167251,2.0
234676,135698,2.0
171759,74073,2.0
1582682,19578,2.0
6087446,156446,2.0
284912,235796,2.0
23653,81090,1.0
3430156,55073,2.0
1049222,197077,2.0
123048,123046,2.0
8643298,101484,1.0
2053132,252515,2.0
532523,34265,2.0
2715371,67420,2.0
506364,239571,1.0
100490,144623,2.0
2421622,95558,1.0
2232179,200255,2.0
1582682,126743,2.0
170026,146753,1.0
372009,94848,2.0
15843,239667,1.0
188818,235508,1.0
1860264,236616,2.0
1422472,250975,2.0
5651482,235508,2.0
144267,236611,2.0
156406,25503,1.0
1849514,240683,3.0
376367,91823,2.0
7094356,100404,1.0
332275,15074,2.0
243839,116036,2.0
825542,76462,1.0
1958540,126534,2.0
2117859,112614,1.0
1478969,1959,2.0
830998,6539,1.0
26581,103789,1.0
7186215,55060,1.0
4697764,114025,3.0
408823,248429,2.0
245449,229590,1.0
196622,254647,1.0
150042,201056,2.0
2430442,205843,2.0
485528,225291,2.0
344090,133708,2.0
1786448,250484,1.0
187199,51630,1.0
516645,124029,1.0
41414,218285,3.0
1751851,108696,1.0
166790,110405,2.0
70344,55083,2.0
833159,196000,2.0
3663358,77485,2.0
1852795,131564,2.0
2518706,52292,1.0
4893589,123074,1.0
1008379,100772,1.0
340335,65190,2.0
820468,251036,1.0
149720,251517,2.0
5156390,127165,2.0
1172316,224146,2.0
1077198,235508,1.0
7180098,107213,1.0
3521985,67487,1.0
5788663,8584,1.0
446412,106747,1.0
783079,108962,1.0
111470,229206,2.0
1770540,68692,2.0
330081,131493,1.0
177467,65077,1.0
306931,269865,1.0
12500,194435,2.0
12287,101476,2.0
8051152,109277,3.0
114163,185272,1.0
4225656,107854,1.0
76764,163888,2.0
3665718,127552,2.0
1015320,37736,1.0
354865,239620,2.0
3454442,94572,1.0
4113890,38586,5.0
407168,114411,2.0
3283732,118402,1.0
157728,68588,1.0
40360,52475,2.0
4871348,225159,2.0
3428902,266361,1.0
1325831,163957,2.0
1274663,113925,2.0
3713551,160751,2.0
9495355,36048,2.0
2256509,37753,2.0
4493750,269871,2.0
2051617,108883,2.0
2607120,194051,1.0
2730142,53003,1.0
202727,143687,2.0
26139,251496,2.0
1075063,131460,2.0
3231429,39281,2.0
297406,269884,2.0
266732,131562,1.0
43479,48831,2.0
4031400,99646,1.0
7214257,48488,2.0
57811,35031,2.0
973187,85068,1.0
927182,42341,1.0
771,249324,1.0
